"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0066 0.0066
0.00020 0.0072 0.0072
0.00030 0.0066 0.0066
0.00040 0.0066 0.0066
0.00050 0.0060 0.0060
0.00060 0.0066 0.0066
0.00070 0.0095 0.0095
0.00080 0.0131 0.0131
0.00090 0.0137 0.0137
0.00100 0.0131 0.0131
0.00110 0.0119 0.0119
0.00120 0.0185 0.0185
0.00130 0.0084 0.0084
0.00140 0.0131 0.0131
0.00150 0.0155 0.0155
0.00160 0.0149 0.0149
0.00170 0.0149 0.0149
0.00180 0.0143 0.0143
0.00190 0.0149 0.0149
0.00200 0.0155 0.0155
0.00210 0.0143 0.0143
0.00220 0.0149 0.0149
0.00230 0.0149 0.0149
0.00240 0.0143 0.0143
0.00250 0.0155 0.0155
0.00260 0.0149 0.0149
0.00270 0.0143 0.0143
0.00280 0.0149 0.0149
0.00290 0.0149 0.0149
0.00300 0.0155 0.0155
0.00310 0.0149 0.0149
0.00320 0.0143 0.0143
0.00330 0.0143 0.0143
0.00340 0.0149 0.0149
0.00350 0.0155 0.0155
0.00360 0.0149 0.0149
0.00370 0.0149 0.0149
0.00380 0.0155 0.0155
0.00390 0.0137 0.0137
0.00400 0.0143 0.0143
0.00410 0.0155 0.0155
0.00420 0.0149 0.0149
0.00430 0.0149 0.0149
0.00440 0.0155 0.0155
0.00449 0.0143 0.0143
0.00459 0.0149 0.0149
0.00469 0.0149 0.0149
0.00479 0.0143 0.0143
0.00489 0.0149 0.0149
0.00499 0.0155 0.0155
0.00509 0.0149 0.0149
0.00519 0.0149 0.0149
0.00529 0.0143 0.0143
0.00539 0.0143 0.0143
0.00549 0.0149 0.0149
0.00559 0.0155 0.0155
0.00569 0.0149 0.0149
0.00579 0.0149 0.0149
0.00589 0.0155 0.0155
0.00599 0.0143 0.0143
0.00609 0.0143 0.0143
0.00619 0.0149 0.0149
0.00629 0.0149 0.0149
0.00639 0.0155 0.0155
0.00649 0.0149 0.0149
0.00659 0.0143 0.0143
0.00669 0.0149 0.0149
0.00679 0.0143 0.0143
0.00689 0.0149 0.0149
0.00699 0.0155 0.0155
0.00709 0.0149 0.0149
0.00719 0.0143 0.0143
0.00729 0.0149 0.0149
0.00739 0.0155 0.0155
0.00749 0.0149 0.0149
0.00759 0.0143 0.0143
0.00769 0.0149 0.0149
0.00779 0.0143 0.0143
0.00789 0.0149 0.0149
0.00799 0.0155 0.0155
0.00809 0.0149 0.0149
0.00819 0.0143 0.0143
0.00829 0.0149 0.0149
0.00839 0.0149 0.0149
0.00849 0.0155 0.0155
0.00859 0.0143 0.0143
0.00869 0.0149 0.0149
0.00879 0.0143 0.0143
0.00889 0.0149 0.0149
0.00899 0.0155 0.0155
0.00909 0.0149 0.0149
0.00919 0.0185 0.0185
0.00929 0.0215 0.0215
0.00939 0.0155 0.0155
0.00949 0.0149 0.0149
0.00959 0.0161 0.0161
0.00969 0.0149 0.0149
0.00979 0.0221 0.0221
0.00989 0.0239 0.0239
0.00999 0.0239 0.0239
0.01009 0.0227 0.0227
0.01019 0.0245 0.0245
0.01029 0.0215 0.0215
0.01039 0.0227 0.0227
0.01049 0.0221 0.0221
0.01059 0.0233 0.0233
0.01069 0.0227 0.0227
0.01079 0.0292 0.0292
0.01089 0.0310 0.0310
0.01099 0.0304 0.0304
0.01109 0.0328 0.0328
0.01119 0.0161 0.0161
0.01129 0.0090 0.0090
0.01139 0.0095 0.0095
0.01149 0.0084 0.0084
0.01159 0.0149 0.0149
0.01169 0.0161 0.0161
0.01179 0.0149 0.0149
0.01189 0.0161 0.0161
0.01199 0.0155 0.0155
0.01209 0.0161 0.0161
0.01219 0.0149 0.0149
0.01229 0.0161 0.0161
0.01239 0.0167 0.0167
0.01249 0.0203 0.0203
0.01259 0.0233 0.0233
0.01269 0.0245 0.0245
0.01279 0.0245 0.0245
0.01289 0.0245 0.0245
0.01299 0.0245 0.0245
0.01309 0.0239 0.0239
0.01319 0.0245 0.0245
0.01328 0.0245 0.0245
0.01338 0.0245 0.0245
0.01348 0.0245 0.0245
0.01358 0.0251 0.0251
0.01368 0.0233 0.0233
0.01378 0.0251 0.0251
0.01388 0.0227 0.0227
0.01398 0.0095 0.0095
0.01408 0.0084 0.0084
0.01418 0.0149 0.0149
0.01428 0.0239 0.0239
0.01438 0.0269 0.0269
0.01448 0.0084 0.0084
0.01458 0.0149 0.0149
0.01468 0.0149 0.0149
0.01478 0.0167 0.0167
0.01488 0.0161 0.0161
0.01498 0.0209 0.0209
0.01508 0.0239 0.0239
0.01518 0.0251 0.0251
0.01528 0.0245 0.0245
0.01538 0.0292 0.0292
0.01548 0.0328 0.0328
0.01558 0.0340 0.0340
0.01568 0.0424 0.0424
0.01578 0.0501 0.0501
0.01588 0.0430 0.0430
0.01598 0.0519 0.0519
0.01608 0.0728 0.0728
0.01618 0.0424 0.0424
0.01628 0.0561 0.0561
0.01638 0.0764 0.0764
0.01648 0.0352 0.0352
0.01658 0.0251 0.0251
0.01668 0.0352 0.0352
0.01678 0.0454 0.0454
0.01688 0.0716 0.0716
0.01698 0.0728 0.0728
0.01708 0.0674 0.0674
0.01718 0.0710 0.0710
0.01728 0.0752 0.0752
0.01738 0.0752 0.0752
0.01748 0.0758 0.0758
0.01758 0.0835 0.0835
0.01768 0.0841 0.0841
0.01778 0.0841 0.0841
0.01788 0.0835 0.0835
0.01798 0.0841 0.0841
0.01808 0.0841 0.0841
0.01818 0.0847 0.0847
0.01828 0.0829 0.0829
0.01838 0.0859 0.0859
0.01848 0.0895 0.0895
0.01858 0.0901 0.0901
0.01868 0.0901 0.0901
0.01878 0.0949 0.0949
0.01888 0.0985 0.0985
0.01898 0.0991 0.0991
0.01908 0.0991 0.0991
0.01918 0.0991 0.0991
0.01928 0.1080 0.1080
0.01938 0.1086 0.1086
0.01948 0.1158 0.1158
0.01958 0.0829 0.0829
0.01968 0.0579 0.0579
0.01978 0.0352 0.0352
0.01988 0.0436 0.0436
0.01998 0.0442 0.0442
0.02008 0.0483 0.0483
0.02018 0.0603 0.0603
0.02028 0.0710 0.0710
0.02038 0.0746 0.0746
0.02048 0.0107 0.0107
0.02058 0.0101 0.0101
0.02068 0.0101 0.0101
0.02078 0.0107 0.0107
0.02088 0.0161 0.0161
0.02098 0.0191 0.0191
0.02108 0.0197 0.0197
0.02118 0.0197 0.0197
0.02128 0.0185 0.0185
0.02138 0.0203 0.0203
0.02148 0.0191 0.0191
0.02158 0.0197 0.0197
0.02168 0.0191 0.0191
0.02178 0.0191 0.0191
0.02188 0.0203 0.0203
0.02198 0.0185 0.0185
0.02207 0.0203 0.0203
0.02217 0.0185 0.0185
0.02227 0.0203 0.0203
0.02237 0.0197 0.0197
0.02247 0.0203 0.0203
0.02257 0.0233 0.0233
0.02267 0.0245 0.0245
0.02277 0.0245 0.0245
0.02287 0.0286 0.0286
0.02297 0.0316 0.0316
0.02307 0.0328 0.0328
0.02317 0.0328 0.0328
0.02327 0.0370 0.0370
0.02337 0.0454 0.0454
0.02347 0.0471 0.0471
0.02357 0.0537 0.0537
0.02367 0.0668 0.0668
0.02377 0.0406 0.0406
0.02387 0.0316 0.0316
0.02397 0.0346 0.0346
0.02407 0.0346 0.0346
0.02417 0.0352 0.0352
0.02427 0.0340 0.0340
0.02437 0.0382 0.0382
0.02447 0.0418 0.0418
0.02457 0.0412 0.0412
0.02467 0.0400 0.0400
0.02477 0.0412 0.0412
0.02487 0.0412 0.0412
0.02497 0.0418 0.0418
0.02507 0.0412 0.0412
0.02517 0.0442 0.0442
0.02527 0.0459 0.0459
0.02537 0.0495 0.0495
0.02547 0.0501 0.0501
0.02557 0.0507 0.0507
0.02567 0.0501 0.0501
0.02577 0.0495 0.0495
0.02587 0.0501 0.0501
0.02597 0.0507 0.0507
0.02607 0.0495 0.0495
0.02617 0.0501 0.0501
0.02627 0.0507 0.0507
0.02637 0.0495 0.0495
0.02647 0.0507 0.0507
0.02657 0.0495 0.0495
0.02667 0.0507 0.0507
0.02677 0.0501 0.0501
0.02687 0.0507 0.0507
0.02697 0.0495 0.0495
0.02707 0.0501 0.0501
0.02717 0.0501 0.0501
0.02727 0.0555 0.0555
0.02737 0.0609 0.0609
0.02747 0.0710 0.0710
0.02757 0.0829 0.0829
0.02767 0.0925 0.0925
0.02777 0.0943 0.0943
0.02787 0.0991 0.0991
0.02797 0.1080 0.1080
0.02807 0.1092 0.1092
0.02817 0.1080 0.1080
0.02827 0.1092 0.1092
0.02837 0.1110 0.1110
0.02847 0.0471 0.0471
0.02857 0.0113 0.0113
0.02867 0.0209 0.0209
0.02877 0.0430 0.0430
0.02887 0.0865 0.0865
0.02897 0.0764 0.0764
0.02907 0.0704 0.0704
0.02917 0.0758 0.0758
0.02927 0.0812 0.0812
0.02937 0.0835 0.0835
0.02947 0.0835 0.0835
0.02957 0.0907 0.0907
0.02967 0.0955 0.0955
0.02977 0.1032 0.1032
0.02987 0.1164 0.1164
0.02997 0.1283 0.1283
0.03007 0.1343 0.1343
0.03017 0.1289 0.1289
0.03027 0.1516 0.1516
0.03037 0.0113 0.0113
0.03047 0.0101 0.0101
0.03057 0.0119 0.0119
0.03067 0.0101 0.0101
0.03077 0.0113 0.0113
0.03087 0.0101 0.0101
0.03096 0.0119 0.0119
0.03106 0.0101 0.0101
0.03116 0.0119 0.0119
0.03126 0.0107 0.0107
0.03136 0.0107 0.0107
0.03146 0.0107 0.0107
0.03156 0.0113 0.0113
0.03166 0.0107 0.0107
0.03176 0.0107 0.0107
0.03186 0.0113 0.0113
0.03196 0.0107 0.0107
0.03206 0.0107 0.0107
0.03216 0.0107 0.0107
0.03226 0.0113 0.0113
0.03236 0.0107 0.0107
0.03246 0.0286 0.0286
0.03256 0.1074 0.1074
0.03266 0.0907 0.0907
0.03276 0.1074 0.1074
0.03286 0.1981 0.1981
0.03296 0.1575 0.1575
0.03306 0.0674 0.0674
0.03316 0.0865 0.0865
0.03326 0.0931 0.0931
0.03336 0.1038 0.1038
