method,stage,stage_order,x,n_species,n_species_with_pu,mean_persist,median_persist,q10_persist,q90_persist,min_persist,max_persist,frac_gt_05,total_pu_area_km2
pipe,0,0,0,182,182,0.891744783911603,0.999999918919508,0.45802290876086,1,0,1,0.895604395604396,8178380.72624704
pipe,1,1,4.74865574883676,182,182,0.891745083807815,0.99999994883828,0.45802290876086,1,0,1,0.895604395604396,8111340.733195
pipe,2,2,9.45013491751602,182,182,0.891754990654752,0.999999970809059,0.45802290876086,1,0,1,0.895604395604396,7920116.84684299
pipe,3,3,14.1409219785651,182,181,0.891764998338437,0.99999997574349,0.45802290876086,1,0,1,0.895604395604396,7874094.88898013
pipe,4,4,18.8353199706999,182,181,0.891766455014895,0.99999996958235,0.45802290876086,1,0,1,0.895604395604396,7664104.09004522
pipe,5,5,23.5299055436702,182,181,0.891745383329106,0.999999986165966,0.45802290876086,1,0,1,0.895604395604396,7391200.34464637
pipe,6,6,28.2220994609865,182,181,0.891691265679819,0.999999985420542,0.45802290876086,1,0,1,0.895604395604396,7202663.13289054
pipe,7,7,32.9130272076623,182,181,0.891639377699373,0.999999985171674,0.45802290876086,1,0,1,0.895604395604396,6946617.80703805
pipe,8,8,37.603063945369,182,181,0.891510670964692,0.999999999081556,0.45802290876086,1,0,1,0.895604395604396,6713793.14853627
pipe,9,9,42.294366853716,182,181,0.891452394433399,0.999999998929798,0.45802290876086,1,0,1,0.895604395604396,6479276.99485425
pipe,10,10,46.984731857885,182,181,0.891215752873117,0.999999999551106,0.45802290876086,1,0,1,0.895604395604396,6177071.60083448
pipe,11,11,51.6772071464547,182,181,0.891104825195962,0.99999999986082,0.45802290876086,1,0,1,0.895604395604396,5876436.5187112
pipe,12,12,56.3696355398155,182,181,0.891031053720832,0.999999999702269,0.45802290876086,1,0,1,0.895604395604396,5464755.21584842
pipe,13,13,61.0801185886043,182,181,0.890515122599439,0.99999999876475,0.45802290876086,1,0,1,0.895604395604396,5082045.39425416
pipe,14,14,65.7855369548315,182,178,0.889629339912874,0.999999999290954,0.45802290876086,1,0,1,0.895604395604396,4598954.87389729
pipe,15,15,70.4793253092505,182,178,0.888356613055026,0.999999996082283,0.45802290876086,1,0,1,0.895604395604396,4038884.68503816
pipe,16,16,75.1702061607174,182,178,0.885591255457694,0.999999954898405,0.45802290876086,1,0,1,0.895604395604396,3435338.56348606
pipe,17,17,79.8661985899549,182,178,0.883318469950693,0.99999980182294,0.45802290876086,1,0,1,0.895604395604396,2824902.34479506
pipe,18,18,84.5572201270485,182,177,0.877436527032663,0.999998894513594,0.442451913518948,1,0,1,0.89010989010989,2093963.67533964
pipe,19,19,89.261981960351,182,175,0.867916128292177,0.999894948653236,0.391241204348916,1,0,1,0.879120879120879,1432917.81677328
pipe,20,20,93.953331763907,182,173,0.846289561916036,0.999260356975635,0.134639776666599,1,0,1,0.840659340659341,783351.652245489
pipe,21,21,98.6595004534767,182,167,0.67535054246481,0.866600550236337,4.27619102350009e-09,0.999999810040615,0,1,0.686813186813187,170417.790651573
pipe,22,22,99.7962403173118,182,135,0.34921654331653,0.126846339408312,0,0.969415178937365,0,0.999336230732852,0.362637362637363,33811.4477885458
rank,0,0,0,182,182,0.891744783911603,0.999999918919508,0.45802290876086,1,0,1,0.895604395604396,8178380.72624704
rank,1,1,4.74865574883676,182,182,0.891761333580506,0.999999941959113,0.458022906591328,1,0,1,0.895604395604396,8141740.31848464
rank,2,2,9.45013491751602,182,182,0.891718983209869,0.999999962223814,0.458022906591328,1,0,1,0.895604395604396,8063894.60349893
rank,3,3,14.1409219785651,182,182,0.891594602522166,0.999999975223569,0.458022906591328,1,0,1,0.895604395604396,7966818.62375293
rank,4,4,18.8353199706999,182,182,0.891485694385566,0.99999998425634,0.458022906591328,1,0,1,0.895604395604396,7853015.76216977
rank,5,5,23.5299055436702,182,182,0.891374393753779,0.999999982409964,0.458022906591328,1,0,1,0.895604395604396,7706797.24506109
